,Home_Team_Initials,Away_Team_Initials,Weight,HomeTeamTotal
812,NGA,ARG,,
813,BIH,IRN,,
814,HON,SUI,,
815,ECU,FRA,,
816,USA,GER,,
817,POR,GHA,,
818,KOR,BEL,,
819,ALG,RUS,,
820,BRA,CHI,,
821,COL,URU,,
822,FRA,NGA,,
823,GER,ALG,,
824,BRA,COL,,
825,FRA,GER,,
826,BRA,GER,,
827,BRA,NED,,
828,GER,ARG,,
829,NED,ARG,,
830,NED,CRC,,
831,ARG,BEL,,
832,NED,MEX,,
833,CRC,GRE,,
834,ARG,SUI,,
835,BEL,USA,,
836,BRA,CHI,,
837,COL,URU,,
838,NED,MEX,,
839,CRC,GRE,,
840,FRA,NGA,,
841,GER,ALG,,
842,ARG,SUI,,
843,BEL,USA,,
844,FRA,GER,,
845,BRA,COL,,
846,ARG,BEL,,
847,NED,CRC,,
848,BRA,GER,,
849,NED,ARG,,
850,BRA,NED,,
851,GER,ARG,,
